Date,Open,High,Low,Close,Volume
8/17/2017,301.13,312.18,298,302,7030.71034
8/18/2017,302,311.79,283.94,293.96,9537.84646
8/19/2017,293.31,299.9,278,290.91,2146.19773
8/20/2017,289.41,300.53,282.85,299.1,2510.13871
8/21/2017,299.1,346.52,294.6,323.29,5219.44542
8/22/2017,321.04,330.41,144.21,309.8,7956.35088
8/23/2017,312.25,324.99,309.41,315.74,8665.72569
8/24/2017,315.74,328.04,314.01,323.42,6753.27192
8/25/2017,323.42,338.28,323.42,327.24,7125.96962
8/26/2017,327.24,335.44,323.41,330.79,4877.68521
8/27/2017,332.18,348.13,330.73,348.13,4635.43715
8/28/2017,348.11,351,331.95,346,4279.1817
8/29/2017,347,377.6,346,374.7,3032.13425
8/30/2017,374.7,393.71,362.05,385.93,4446.59608
8/31/2017,384.64,389.36,377.78,384.79,4435.86855
9/1/2017,386.44,394.39,383.18,388.46,4198.68434
9/2/2017,388.58,394.32,320.08,343.14,8240.32724
9/3/2017,343.56,367.28,320.08,341.77,5253.62211
9/4/2017,339.29,344.55,267.94,283.77,6737.81061
9/5/2017,286.81,321.52,235.55,312.09,8344.41924
9/6/2017,313.29,336.34,312.09,335,5486.30988
9/7/2017,335.01,342.5,320.17,334.49,3103.89745
9/8/2017,334.49,335.1,272,302.99,4915.75693
9/9/2017,300.01,307,281.66,296.74,2740.58822
9/10/2017,296.72,302.78,261.03,293.5,4156.45099
9/11/2017,293.51,304.98,285.21,297.3,4829.64647
9/12/2017,297.78,316.46,286.01,293.96,5176.31402
9/13/2017,293.93,294.5,257.05,276.91,6451.22836
9/14/2017,275.76,283.77,215,215.21,12601.95676
9/15/2017,217,270.93,192,253,14223.8953
9/16/2017,255.99,271.81,235.51,249.31,10362.06011
9/17/2017,249.32,264.39,239.02,257.55,4614.53337
9/18/2017,257.53,306.22,257.11,294.57,4125.97051
9/19/2017,296,300,277.41,284,1869.90852
9/20/2017,284.01,294,275.91,282,1060.56734
9/21/2017,285.1,287,252.1,257,1912.55583
9/22/2017,258,272.97,253.01,264,1464.5125
9/23/2017,259.99,286.23,255.11,285.93,2824.33572
9/24/2017,286.5,294.61,275,282,5575.54422
9/25/2017,282,299,281.34,294.42,5870.48035
9/26/2017,294.42,296.81,286.24,287.9,4566.92804
9/27/2017,289.91,313,286.13,309.74,5518.10382
9/28/2017,309.81,311.81,296.89,302.44,6600.90922
9/29/2017,302.44,303,274,292.22,11089.19902
9/30/2017,292.62,307.49,292.22,304.36,4020.60795
10/1/2017,305.13,306,294,303.95,5060.05758
10/2/2017,303.94,305,295,296.5,3710.83747
10/3/2017,298.15,301.99,283.18,292.48,5546.85702
10/4/2017,292.47,297.97,288,291.99,4014.88792
10/5/2017,290,297.44,285.53,294.81,3412.39016
10/6/2017,294.78,310.8,293.78,310.8,3541.02359
10/7/2017,309.9,318.5,303.6,311.01,2165.79076
10/8/2017,311.08,317.07,309,311.07,2960.93198
10/9/2017,311.13,312.13,286.65,297.19,4885.37863
10/10/2017,297.35,308.56,293,298.64,6749.27468
10/11/2017,300.88,305.5,298.02,304.01,3724.6863
10/12/2017,304.01,310,302.71,303.99,7827.75596
10/13/2017,303.52,353.96,297,337.96,17925.36585
10/14/2017,337.96,349.8,335,342,7731.96469
10/15/2017,342,348,316.17,337.96,10011.34708
10/16/2017,337.5,354,332.78,335.19,8663.47097
10/17/2017,335.18,336.58,312.65,315.19,8146.74356
10/18/2017,315.19,318,284.68,309.7,12908.0454
10/19/2017,311.52,315,300,308.66,8678.74739
