Date,Open,High,Low,Close,Volume
8/17/2017,4261.48,4485.39,4200.74,4285.08,795.150377
8/18/2017,4285.08,4371.52,3938.77,4108.37,1199.888264
8/19/2017,4108.37,4184.69,3850,4139.98,381.309763
8/20/2017,4120.98,4211.08,4032.62,4086.29,467.083022
8/21/2017,4069.13,4119.62,3911.79,4016,691.74306
8/22/2017,4016,4104.82,3400,4040,966.684858
8/23/2017,4040,4265.8,4013.89,4114.01,1001.136565
8/24/2017,4147,4371.68,4085.01,4316.01,787.418753
8/25/2017,4316.01,4453.91,4247.48,4280.68,573.61274
8/26/2017,4280.71,4367,4212.41,4337.44,228.108068
8/27/2017,4332.51,4400,4285.54,4310.01,350.692585
8/28/2017,4310.01,4399.82,4124.54,4386.69,603.841616
8/29/2017,4353.65,4625.85,4313.55,4587.48,603.545028
8/30/2017,4564.52,4647.51,4416.01,4555.14,808.468771
8/31/2017,4555.14,4745.42,4555.14,4724.89,556.956802
9/1/2017,4689.89,4885.55,4654.88,4834.91,560.666366
9/2/2017,4796.16,4939.19,4286.87,4472.14,929.148595
9/3/2017,4508.5,4714.76,4298.33,4509.08,691.216198
9/4/2017,4505,4527.49,3972.51,4100.11,1394.644614
9/5/2017,4106.97,4484.99,3603,4366.47,1228.938157
9/6/2017,4366.49,4662.87,4335.26,4619.77,807.363726
9/7/2017,4619.77,4788.59,4438.19,4691.61,500.429975
9/8/2017,4691.66,4735.39,4028.93,4282.8,1132.255046
9/9/2017,4282.8,4426.62,4150.06,4258.81,658.782952
9/10/2017,4258.81,4283,3801,4130.37,660.373275
9/11/2017,4153.62,4334.43,4098.91,4208.47,699.989065
9/12/2017,4208.6,4394.59,4040.8,4163.72,879.630319
9/13/2017,4159.72,4165.38,3760,3944.69,913.462545
9/14/2017,3944,3993,3165.13,3189.02,1665.021543
9/15/2017,3188.01,3856,2817,3700,1968.866492
9/16/2017,3674.01,3950,3470.66,3714.95,1297.563953
9/17/2017,3685.23,3748.21,3499.02,3699.99,682.17121
9/18/2017,3690,4123.2,3690,4035.01,1030.006455
9/19/2017,4060,4089.97,3830.91,3910.04,902.332129
9/20/2017,3910.04,4046.08,3820,3900,720.935076
9/21/2017,3889.99,3910,3567,3609.99,1001.654084
9/22/2017,3592.84,3750,3505.55,3595.87,838.966425
9/23/2017,3595.88,3817.19,3542.91,3780,752.792791
9/24/2017,3779.54,3789.99,3622.76,3660.02,661.63639
9/25/2017,3660.02,3979.87,3653.69,3920.75,727.994713
9/26/2017,3928,3976.99,3850.05,3882.35,526.727987
